,mobiles,prices,ratings
0,"<div class=""_4rR01T"">vivo T1 44W (Starry Sky, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<span>55,666 Ratings </span>"
1,"<div class=""_4rR01T"">vivo T1 44W (Starry Sky, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,499</div>","<span>97,326 Ratings </span>"
2,"<div class=""_4rR01T"">vivo T1 44W (Midnight Galaxy, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,499</div>","<span>97,326 Ratings </span>"
3,"<div class=""_4rR01T"">vivo T1 44W (Midnight Galaxy, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹15,999</div>","<span>55,666 Ratings </span>"
4,"<div class=""_4rR01T"">vivo T1 44W (Midnight Galaxy, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>","<span>6,337 Ratings </span>"
5,"<div class=""_4rR01T"">vivo T1 44W (Starry Sky, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>","<span>6,337 Ratings </span>"
6,"<div class=""_4rR01T"">vivo T1X (Space Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<span>85,799 Ratings </span>"
7,"<div class=""_4rR01T"">vivo T1X (Gravity Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>","<span>85,799 Ratings </span>"
8,"<div class=""_4rR01T"">vivo T1X (Gravity Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<span>85,799 Ratings </span>"
9,"<div class=""_4rR01T"">vivo T1X (Gravity Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,999</div>","<span>4,730 Ratings </span>"
10,"<div class=""_4rR01T"">vivo T1X (Space Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,999</div>","<span>4,730 Ratings </span>"
11,"<div class=""_4rR01T"">vivo T1X (Space Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>","<span>85,799 Ratings </span>"
12,"<div class=""_4rR01T"">vivo V27 5G (Magic Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹32,999</div>","<span>2,276 Ratings </span>"
13,"<div class=""_4rR01T"">vivo V27 5G (Noble Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹32,999</div>","<span>2,276 Ratings </span>"
14,"<div class=""_4rR01T"">vivo Y15s (Wave Green, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>","<span>4,044 Ratings </span>"
15,"<div class=""_4rR01T"">vivo Y33s (Mirror Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹15,890</div>","<span>12,338 Ratings </span>"
16,"<div class=""_4rR01T"">vivo Y56 5G (Black Engine, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>",<span>288 Ratings </span>
17,"<div class=""_4rR01T"">vivo Y22 (Metaverse Green, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,499</div>",<span>906 Ratings </span>
18,"<div class=""_4rR01T"">vivo Y22 (Starlit Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹14,499</div>",<span>906 Ratings </span>
19,"<div class=""_4rR01T"">vivo Y22 (Metaverse Green, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹16,499</div>",<span>902 Ratings </span>
20,"<div class=""_4rR01T"">vivo Y35 (Dawn Gold, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<span>2,119 Ratings </span>"
21,"<div class=""_4rR01T"">vivo Y22 (Starlit Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹16,439</div>",<span>902 Ratings </span>
22,"<div class=""_4rR01T"">vivo Y35 (Agate Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,499</div>","<span>2,119 Ratings </span>"
23,"<div class=""_4rR01T"">vivo Y16 (Steller Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,499</div>","<span>1,465 Ratings </span>"
